timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1610528597350,20,fontawesome-webfont.woff2,200,OK,Csae 1 1-2,text,true,,77507,1044,3,3,https://192.168.78.11/assets/font-awesome/fontawesome-webfont-2adefcbc041e7d18fcf2d417879dc5a09997aa64d675b7a3c4b6ce33da13f3fe.woff2?v=4.7.0,20,0,0
1610528597348,21,woff,200,"Number of samples in transaction : 2, number of failing samples : 0",Csae 1 1-2,,true,,93594,2005,3,3,null,21,1,0
1610528597351,21,roboto-v20-latin-regular.woff2,200,OK,Csae 1 1-3,text,true,,16087,961,3,3,https://192.168.78.11/dcim/roboto-v20-latin-regular.woff2,21,0,0
1610528597375,7,fontawesome-webfont.woff2,200,OK,Csae 1 1-3,text,true,,77507,1044,3,3,https://192.168.78.11/assets/font-awesome/fontawesome-webfont-2adefcbc041e7d18fcf2d417879dc5a09997aa64d675b7a3c4b6ce33da13f3fe.woff2?v=4.7.0,6,0,0
1610528597349,28,woff,200,"Number of samples in transaction : 2, number of failing samples : 0",Csae 1 1-3,,true,,93594,2005,3,3,null,27,5,0
1610528597372,1037,app,200,OK,Csae 1 1-2,text,true,,11578675,8502,3,3,https://192.168.78.11/app/,1,0,0
1610528597372,1,app-0,200,OK,Csae 1 1-2,text,true,,1338,930,3,3,https://192.168.78.11/app/,1,0,0
1610528597374,4,app-1,200,OK,Csae 1 1-2,text,true,,330,947,3,3,https://192.168.78.11/app/main.42b6269d.css,4,0,0
1610528597383,2,app-2,200,OK,Csae 1 1-2,text,true,,154129,940,3,3,https://192.168.78.11/app/vendor.css,1,0,0
1610528597495,34,app-3,200,OK,Csae 1 1-2,text,true,,433790,938,3,3,https://192.168.78.11/app/dark.css,24,0,0
1610528597831,23,app-4,200,OK,Csae 1 1-2,text,true,,433808,939,3,3,https://192.168.78.11/app/light.css,19,0,0
1610528598116,106,app-5,200,OK,Csae 1 1-2,text,true,,4319583,946,3,3,https://192.168.78.11/app/main.42b6269d.js,7,0,0
1610528598222,172,app-6,200,OK,Csae 1 1-2,text,true,,6234781,955,3,3,https://192.168.78.11/app/vendor.42b6269d.bundle.js,28,0,21
1610528598394,8,app-7,200,OK,Csae 1 1-2,text,true,,458,953,3,3,https://192.168.78.11/app/dark.42b6269d.bundle.js,8,0,0
1610528598403,6,app-8,200,OK,Csae 1 1-2,text,true,,458,954,3,3,https://192.168.78.11/app/light.42b6269d.bundle.js,6,0,0
1610528597349,1061,app,200,OK,Csae 1 1-1,text,true,,11578675,8502,3,3,https://192.168.78.11/app/,20,0,0
1610528597349,21,app-0,200,OK,Csae 1 1-1,text,true,,1338,930,3,3,https://192.168.78.11/app/,20,0,0
1610528597372,6,app-1,200,OK,Csae 1 1-1,text,true,,330,947,3,3,https://192.168.78.11/app/main.42b6269d.css,6,0,0
1610528597383,3,app-2,200,OK,Csae 1 1-1,text,true,,154129,940,3,3,https://192.168.78.11/app/vendor.css,2,0,0
1610528597495,30,app-3,200,OK,Csae 1 1-1,text,true,,433790,938,3,3,https://192.168.78.11/app/dark.css,24,0,0
1610528597830,22,app-4,200,OK,Csae 1 1-1,text,true,,433808,939,3,3,https://192.168.78.11/app/light.css,5,0,0
1610528598113,94,app-5,200,OK,Csae 1 1-1,text,true,,4319583,946,3,3,https://192.168.78.11/app/main.42b6269d.js,2,0,0
1610528598212,166,app-6,200,OK,Csae 1 1-1,text,true,,6234781,955,3,3,https://192.168.78.11/app/vendor.42b6269d.bundle.js,29,0,28
