timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1626730502811,7,connectors?typeName=Breaker (AC),200,,Csae 1 1-6,text,true,,1574,988,15,15,https://192.168.78.176/dcTrackApp/api/v2/lookups/connectors?typeName=Breaker+%28AC%29,7,0,0
1626730502812,7,phaseLegMap?portType=20003,200,,Csae 1 1-12,text,true,,1049,977,15,15,https://192.168.78.176/dcTrackApp/api/v1/models/phaseLegMap?portType=20003,7,0,0
1626730502812,10,connectors?typeName=Breaker (DC),200,,Csae 1 1-15,text,true,,2010,988,15,15,https://192.168.78.176/dcTrackApp/api/v2/lookups/connectors?typeName=Breaker+%28DC%29,10,0,0
1626730502819,9,phaseMap?portType=20002,200,,Csae 1 1-12,text,true,,681,974,15,15,https://192.168.78.176/dcTrackApp/api/v1/models/phaseMap?portType=20002,9,0,0
1626730502819,9,connectors?typeName=Breaker (DC),200,,Csae 1 1-6,text,true,,2010,988,15,15,https://192.168.78.176/dcTrackApp/api/v2/lookups/connectors?typeName=Breaker+%28DC%29,9,0,0
1626730502819,10,voltsDDL?portType=20002&inletPhaseCode=-1&inletVoltsCode=-1&outletPhaseCode=-1&outletPhaseLegCode=-1&modelSubClassCode=2102,200,,Csae 1 1-4,text,true,,334,1074,15,15,https://192.168.78.176/dcTrackApp/api/v1/models/voltsDDL?portType=20002&inletPhaseCode=-1&inletVoltsCode=-1&outletPhaseCode=-1&outletPhaseLegCode=-1&modelSubClassCode=2102,10,0,0
1626730502823,6,voltsDDL?portType=20002&inletPhaseCode=-1&inletVoltsCode=-1&outletPhaseCode=-1&outletPhaseLegCode=-1&modelSubClassCode=5001,200,,Csae 1 1-15,text,true,,663,1074,15,15,https://192.168.78.176/dcTrackApp/api/v1/models/voltsDDL?portType=20002&inletPhaseCode=-1&inletVoltsCode=-1&outletPhaseCode=-1&outletPhaseLegCode=-1&modelSubClassCode=5001,6,0,0
1626730502819,16,connectors?typeName=Power,200,,Csae 1 1-10,text,true,,93032,977,15,15,https://192.168.78.176/dcTrackApp/api/v2/lookups/connectors?typeName=Power,10,0,0
1626730502829,6,voltsDDL?portType=20002&inletPhaseCode=-1&inletVoltsCode=-1&outletPhaseCode=-1&outletPhaseLegCode=-1&modelSubClassCode=5001,200,,Csae 1 1-6,text,true,,663,1074,15,15,https://192.168.78.176/dcTrackApp/api/v1/models/voltsDDL?portType=20002&inletPhaseCode=-1&inletVoltsCode=-1&outletPhaseCode=-1&outletPhaseLegCode=-1&modelSubClassCode=5001,6,0,0
1626730502828,7,phaseMap?portType=20003,200,,Csae 1 1-12,text,true,,790,974,15,15,https://192.168.78.176/dcTrackApp/api/v1/models/phaseMap?portType=20003,7,0,0
